01 Feb 1999,962.40,968.05,940.15,940.15,0
02 Feb 1999,940.10,945.15,924.95,931.20,0
03 Feb 1999,948.00,955.55,940.75,952.40,0
04 Feb 1999,957.15,958.80,937.50,939.70,0
05 Feb 1999,939.65,943.70,930.10,936.30,0
08 Feb 1999,937.75,940.90,916.50,916.50,0
09 Feb 1999,914.70,924.75,907.45,924.75,0
10 Feb 1999,938.80,959.60,935.20,959.45,0
11 Feb 1999,966.85,973.70,958.15,960.05,0
12 Feb 1999,965.70,972.75,962.35,970.25,0
15 Feb 1999,974.10,976.85,954.55,954.55,0
16 Feb 1999,952.55,960.25,951.50,958.90,0
17 Feb 1999,970.10,978.75,953.10,969.05,0
18 Feb 1999,974.15,989.15,968.70,973.45,0
19 Feb 1999,979.40,985.40,975.85,976.30,0
22 Feb 1999,978.50,978.85,953.60,953.85,0
23 Feb 1999,949.30,952.65,938.65,949.65,0
24 Feb 1999,959.80,961.40,947.95,957.65,0
25 Feb 1999,954.70,962.60,951.90,954.30,0
26 Feb 1999,955.40,955.75,938.20,941.20,0
27 Feb 1999,947.35,981.55,932.20,981.30,0
01 Mar 1999,992.45,1018.40,984.45,1015.80,0
03 Mar 1999,1066.40,1073.05,1051.80,1051.85,0
04 Mar 1999,1056.85,1060.55,1030.45,1041.20,0
05 Mar 1999,1043.45,1061.40,1033.80,1054.45,0
08 Mar 1999,1064.35,1080.30,1056.85,1072.10,0
09 Mar 1999,1074.25,1084.65,1071.75,1078.35,0
10 Mar 1999,1095.15,1099.80,1062.70,1078.85,0
11 Mar 1999,1080.15,1085.40,1059.60,1059.60,0
12 Mar 1999,1066.85,1074.15,1057.10,1072.65,0
15 Mar 1999,1073.15,1082.50,1063.45,1073.95,0
16 Mar 1999,1068.85,1075.70,1052.90,1053.15,0
17 Mar 1999,1078.20,1088.55,1057.75,1060.65,0
18 Mar 1999,1061.40,1074.60,1058.25,1074.60,0
19 Mar 1999,1080.70,1083.15,1056.40,1062.90,0
20 Mar 1999,1063.15,1063.65,1053.60,1060.35,0
22 Mar 1999,1052.60,1066.60,1044.10,1063.00,0
23 Mar 1999,1063.95,1079.85,1063.90,1072.95,0
24 Mar 1999,1091.15,1091.90,1047.05,1062.80,0
25 Mar 1999,1057.95,1068.15,1053.30,1054.90,0
26 Mar 1999,1054.95,1057.80,1033.00,1041.25,0
30 Mar 1999,1036.00,1054.65,1028.45,1054.60,0
31 Mar 1999,1076.95,1090.40,1073.65,1078.05,0
01 Apr 1999,1082.55,1084.05,1062.45,1063.45,0
05 Apr 1999,1030.65,1036.45,1008.35,1011.40,0
06 Apr 1999,999.80,1025.95,993.00,1024.20,0
07 Apr 1999,1027.35,1043.40,1027.00,1031.05,0
08 Apr 1999,1033.00,1036.95,1015.30,1020.35,0
09 Apr 1999,1021.55,1022.15,989.75,993.40,0
12 Apr 1999,984.55,999.65,972.70,998.20,0
13 Apr 1999,991.05,1006.15,989.90,994.25,0
15 Apr 1999,968.40,980.65,964.35,968.60,0
16 Apr 1999,970.95,1044.85,965.15,1044.45,0
17 Apr 1999,1065.50,1069.55,961.40,966.95,0
19 Apr 1999,961.30,1000.60,955.75,993.90,0
20 Apr 1999,995.65,1003.70,983.70,995.40,0
21 Apr 1999,997.35,1003.40,990.95,996.65,0
22 Apr 1999,999.55,1012.00,971.90,981.65,0
23 Apr 1999,987.05,994.30,968.15,982.00,0
26 Apr 1999,945.90,955.50,931.30,931.35,0
28 Apr 1999,928.85,944.45,916.00,943.50,0
29 Apr 1999,950.25,966.60,948.40,966.60,0
30 Apr 1999,970.90,980.75,969.60,978.20,0
03 May 1999,979.80,986.40,968.25,970.75,0
04 May 1999,971.90,1008.35,971.80,1008.35,0
05 May 1999,1014.65,1034.55,1004.90,1019.55,0
06 May 1999,1024.95,1048.05,1023.95,1046.95,0
07 May 1999,1065.40,1080.70,1059.05,1062.90,0
10 May 1999,1070.75,1094.20,1070.35,1094.20,0
11 May 1999,1102.20,1121.95,1100.50,1116.00,0
12 May 1999,1135.45,1142.10,1086.70,1110.90,0
13 May 1999,1131.95,1149.60,1130.85,1148.10,0
14 May 1999,1157.60,1173.55,1144.90,1165.35,0
17 May 1999,1164.45,1171.10,1120.70,1151.90,0
18 May 1999,1155.75,1176.30,1153.45,1160.15,0
19 May 1999,1169.60,1189.20,1161.60,1180.25,0
20 May 1999,1181.00,1201.30,1166.90,1166.90,0
21 May 1999,1176.95,1177.00,1139.10,1145.85,0
24 May 1999,1147.40,1154.50,1132.50,1151.60,0
25 May 1999,1148.05,1164.20,1147.40,1160.20,0
26 May 1999,1165.15,1170.10,1122.60,1135.50,0
27 May 1999,1132.85,1147.95,1091.45,1091.45,0
28 May 1999,1088.00,1098.25,1049.95,1081.50,0
31 May 1999,1098.00,1132.80,1097.85,1132.30,0
01 Jun 1999,1125.55,1139.80,1113.00,1123.80,0
02 Jun 1999,1120.65,1127.65,1107.20,1125.15,0
03 Jun 1999,1129.90,1141.05,1127.30,1136.65,0
04 Jun 1999,1150.05,1162.00,1149.10,1155.05,0
